asset_id,path,category,state,target_size,priority,replaceable
UI001,res://assets/ui/kit/UI001_resource_bar.png,UI,,900x150,P0,YES
UI002,res://assets/ui/kit/UI002_primary_button.png,UI,,720x132,P0,YES
UI003,res://assets/ui/kit/UI003_secondary_button.png,UI,,600x118,P0,YES
UI004,res://assets/ui/kit/UI004_reward_panel.png,UI,,900x320,P0,YES
UI005,res://assets/ui/kit/UI005_hp_frame.png,UI,,850x88,P0,YES
UI006,res://assets/ui/kit/UI006_hp_fill_normal.png,UI,,820x54,P0,YES
UI007,res://assets/ui/kit/UI007_hp_fill_boss.png,UI,,820x54,P0,YES
UI010,res://assets/ui/icons/UI010_gold.png,UI,,128x128,P0,YES
UI011,res://assets/ui/icons/UI011_spin.png,UI,,128x128,P0,YES
UI012,res://assets/ui/icons/UI012_shield.png,UI,,128x128,P0,YES
UI013,res://assets/ui/icons/UI013_village.png,UI,,128x128,P0,YES
UI014,res://assets/ui/icons/UI014_wheel.png,UI,,128x128,P0,YES
UI020,res://assets/ui/banners/UI020_boss_intro_panel.png,UI,,640x240,P0,YES
M001_IDLE,res://assets/monsters/greenvale/states/M001_idle.png,Monster,idle,640x640,P0,YES
M001_HIT,res://assets/monsters/greenvale/states/M001_hit.png,Monster,hit,640x640,P0,YES
M001_DEFEAT,res://assets/monsters/greenvale/states/M001_defeat.png,Monster,defeat,640x640,P0,YES
M002_IDLE,res://assets/monsters/greenvale/states/M002_idle.png,Monster,idle,640x640,P0,YES
M002_HIT,res://assets/monsters/greenvale/states/M002_hit.png,Monster,hit,640x640,P0,YES
M002_DEFEAT,res://assets/monsters/greenvale/states/M002_defeat.png,Monster,defeat,640x640,P0,YES
M003_IDLE,res://assets/monsters/greenvale/states/M003_idle.png,Monster,idle,640x640,P0,YES
M003_HIT,res://assets/monsters/greenvale/states/M003_hit.png,Monster,hit,640x640,P0,YES
M003_DEFEAT,res://assets/monsters/greenvale/states/M003_defeat.png,Monster,defeat,640x640,P0,YES
M004_IDLE,res://assets/monsters/greenvale/states/M004_idle.png,Monster,idle,640x640,P0,YES
M004_HIT,res://assets/monsters/greenvale/states/M004_hit.png,Monster,hit,640x640,P0,YES
M004_DEFEAT,res://assets/monsters/greenvale/states/M004_defeat.png,Monster,defeat,640x640,P0,YES
B001_IDLE,res://assets/monsters/greenvale/states/B001_idle.png,Boss,idle,720x720,P0,YES
B001_HIT,res://assets/monsters/greenvale/states/B001_hit.png,Boss,hit,720x720,P0,YES
B001_SHIELD,res://assets/monsters/greenvale/states/B001_shield.png,Boss,shield,720x720,P0,YES
B001_DEFEAT,res://assets/monsters/greenvale/states/B001_defeat.png,Boss,defeat,720x720,P0,YES
V001_TOWNHALL_LV1,res://assets/village/greenvale/p0/V001_townhall_lv1.png,Village,lv1,512x512,P0,YES
V001_TOWNHALL_LV2,res://assets/village/greenvale/p0/V001_townhall_lv2.png,Village,lv2,512x512,P0,YES
V001_TOWNHALL_LV3,res://assets/village/greenvale/p0/V001_townhall_lv3.png,Village,lv3,512x512,P0,YES
V002_GOLDMINE_LV1,res://assets/village/greenvale/p0/V002_goldmine_lv1.png,Village,lv1,512x512,P0,YES
V002_GOLDMINE_LV2,res://assets/village/greenvale/p0/V002_goldmine_lv2.png,Village,lv2,512x512,P0,YES
V002_GOLDMINE_LV3,res://assets/village/greenvale/p0/V002_goldmine_lv3.png,Village,lv3,512x512,P0,YES
V003_FORGE_LV1,res://assets/village/greenvale/p0/V003_forge_lv1.png,Village,lv1,512x512,P0,YES
V003_FORGE_LV2,res://assets/village/greenvale/p0/V003_forge_lv2.png,Village,lv2,512x512,P0,YES
V003_FORGE_LV3,res://assets/village/greenvale/p0/V003_forge_lv3.png,Village,lv3,512x512,P0,YES
V004_LUCKTEMPLE_LV1,res://assets/village/greenvale/p0/V004_lucktemple_lv1.png,Village,lv1,512x512,P0,YES
V004_LUCKTEMPLE_LV2,res://assets/village/greenvale/p0/V004_lucktemple_lv2.png,Village,lv2,512x512,P0,YES
V004_LUCKTEMPLE_LV3,res://assets/village/greenvale/p0/V004_lucktemple_lv3.png,Village,lv3,512x512,P0,YES
V000,res://assets/village/greenvale/V000_village_ground.png,Village,ground,1080x1200,P0,YES
FX010,res://assets/fx/FX010_coin_burst.png,FX,coin_burst,512x512,P0,YES
FX020,res://assets/fx/FX020_building_upgrade_glow.png,FX,upgrade,512x512,P0,YES
BG001,res://assets/world/greenvale/BG001_gruenhain_home_v11.png,Background,home,1080x1920,P0,YES
W001,res://assets/wheel/wheel_8segment_placeholder.png,Wheel,base,800x800,P0,YES
W002,res://assets/wheel/wheel_pointer_placeholder.png,Wheel,pointer,180x180,P0,YES
UI015,res://assets/ui/kit/UI015_resource_gold_pill.png,UI,gold_pill,300x96,P0,YES
UI016,res://assets/ui/kit/UI016_resource_spin_pill.png,UI,spin_pill,300x96,P0,YES
UI017,res://assets/ui/kit/UI017_resource_shield_pill.png,UI,shield_pill,300x96,P0,YES
UI030,res://assets/ui/labels/UI030_tap_prompt.png,UI,tap_prompt,540x96,P0,YES
UI031,res://assets/ui/progress/UI031_monster_progress_10.png,UI,monster_progress,720x96,P0,YES
UI032,res://assets/ui/modals/UI032_monster_reward_panel.png,UI,monster_reward,920x520,P0,YES
UI033,res://assets/ui/kit/UI033_wheel_cta.png,UI,wheel_cta,760x160,P0,YES
UI034,res://assets/ui/modals/UI034_wheel_reward_panel.png,UI,wheel_reward,820x360,P0,YES
FX001,res://assets/fx/FX001_damage_number.png,FX,damage_number,180x100,P0,YES
FX011,res://assets/fx/FX011_coin_fly.png,FX,coin_fly,128x128,P0,YES
FX021,res://assets/fx/FX021_building_select_glow.png,FX,building_select,560x560,P0,YES
FX030,res://assets/fx/FX030_boss_intro_burst.png,FX,boss_intro,720x720,P0,YES
FX031,res://assets/fx/FX031_boss_defeat_burst.png,FX,boss_defeat,720x720,P0,YES
RW001,res://assets/rewards/RW001_small_chest.png,Reward,small_chest,320x260,P0,YES
W010,res://assets/wheel/W010_wheel_p0_v14.png,Wheel,base,900x900,P0,YES
W011,res://assets/wheel/W011_pointer_p0_v14.png,Wheel,pointer,220x220,P0,YES
FX040,res://assets/fx/FX040_wheel_reward_spotlight.png,FX,wheel_reward,520x520,P0,YES
UI040,res://assets/ui/village/UI040_building_card.png,UI,townhall_card,470x540,P0,YES
UI041,res://assets/ui/village/UI041_building_card.png,UI,goldmine_card,470x540,P0,YES
UI042,res://assets/ui/village/UI042_building_card.png,UI,forge_card,470x540,P0,YES
UI043,res://assets/ui/village/UI043_building_card.png,UI,lucktemple_card,470x540,P0,YES
UI044,res://assets/ui/modals/UI044_building_upgrade_modal.png,UI,building_upgrade_modal,900x720,P0,YES
